label,periods,invested_periods,coverage,avg_selected_count,cumulative_return,cumulative_excess_return,CAGR,MDD,Sharpe,avg_return,avg_excess,invested_avg_return,invested_avg_excess,hit_excess,hit_positive,label_base,year
ranker_top3_no_gate_2026,4,4,1.0,3.0,0.5679610227889207,-0.041371916628139105,2.854834948226528,-0.07258179303434142,3.164362813724478,0.12579805164989977,-0.009851858998054602,0.12579805164989977,-0.009851858998054602,0.5,0.75,ranker_top3_no_gate,2026
ranker_top3_std_gate_2016,12,3,0.25,3.0,-0.0490407892092829,-0.06909324861524979,-0.0490407892092829,-0.04904746625330736,-1.4170388462698391,-0.004133915433556138,-0.005884827381410113,-0.016535661734224553,-0.023539309525640453,0.0,0.3333333333333333,ranker_top3_std_gate,2016
ranker_top3_std_gate_2017,12,5,0.4166666666666667,3.0,0.12678504716096572,0.007302821389167269,0.12678504716096572,-0.030184919063878546,1.4195474178939882,0.010279393444099083,0.0008275011884605442,0.024670544265837802,0.001986002852305306,0.6,0.8,ranker_top3_std_gate,2017
ranker_top3_std_gate_2018,12,3,0.25,3.0,-0.06773684578211658,0.05181853748618859,-0.06773684578211658,-0.06773684578211658,-1.4623393182647009,-0.005740905999658267,0.004384069354121391,-0.022963623998633068,0.017536277416485564,0.6666666666666666,0.0,ranker_top3_std_gate,2018
ranker_top3_std_gate_2019,12,5,0.4166666666666667,3.0,0.020775910058146607,0.04184871968128134,0.020775910058146607,-0.06938384577265722,0.22988761693740417,0.0022329255804326075,0.0034810757085193475,0.0053590213930382585,0.008354581700446435,0.8,0.6,ranker_top3_std_gate,2019
ranker_top3_std_gate_2020,12,11,0.9166666666666666,3.0,0.3012633112654417,0.018933123216475556,0.3012633112654417,-0.13341769886623434,1.0075973686961064,0.025650113927803146,0.0022077480203690283,0.027981942466694342,0.002408452385857122,0.45454545454545453,0.6363636363636364,ranker_top3_std_gate,2020
ranker_top3_std_gate_2021,12,6,0.5,3.0,0.06665008864303634,0.11411728022634082,0.06665008864303634,-0.037925917673145015,0.7546942416956562,0.0056959342130412614,0.00932010535932592,0.011391868426082523,0.01864021071865184,0.6666666666666666,0.6666666666666666,ranker_top3_std_gate,2021
ranker_top3_std_gate_2022,12,10,0.8333333333333334,3.0,0.12534025301128304,0.28925937138425173,0.12534025301128304,-0.03790290936904961,1.0800851346392264,0.010379202662634063,0.022104061054229036,0.012455043195160876,0.026524873265074845,0.8,0.5,ranker_top3_std_gate,2022
ranker_top3_std_gate_2023,12,7,0.5833333333333334,3.0,-0.08866268635700303,-0.06422835850007214,-0.08866268635700303,-0.09461541075429258,-1.4061511357011436,-0.007543237417996128,-0.005446536318880896,-0.012931264145136219,-0.00933691940379582,0.42857142857142855,0.2857142857142857,ranker_top3_std_gate,2023
ranker_top3_std_gate_2024,12,8,0.6666666666666666,3.0,0.2643187652345931,0.12333249959090975,0.2643187652345931,-0.05465845415603099,1.2808552198494918,0.02116104874727497,0.010467242581223756,0.031741573120912456,0.015700863871835634,0.5,0.5,ranker_top3_std_gate,2024
ranker_top3_std_gate_2025,12,11,0.9166666666666666,3.0,0.6610614406307824,0.0022439997695209435,0.6610614406307824,-0.04082980688695703,2.277268444313151,0.04518303310068264,0.0004848438217970124,0.04929058156438106,0.0005289205328694681,0.5454545454545454,0.8181818181818182,ranker_top3_std_gate,2025
ranker_top3_std_gate_2026,4,2,0.5,3.0,0.12944126758243257,0.007598616552479065,0.4407577218502883,-0.07258179303434142,1.0002707140368696,0.036313009398224155,0.0022628126882871316,0.07262601879644831,0.004525625376574263,0.5,0.5,ranker_top3_std_gate,2026
