ticker,market_cap
5016.T,0.0
5016T,0.0
5020.T,0.0
5020T,0.0
508026.SS,0.0
508026SS,0.0
5406.T,0.0
5406T,0.0
5706.T,0.0
5706T,0.0
5801.T,0.0
5801T,0.0
5819KL,0.0
599ADU,0.0
59MDU,0.0
5GIR,0.0
5JPSG,0.0
5KBASG,0.0
5NUF,0.0
5O2F,0.0
5O4F,0.0
5URMU,0.0
600000.SS,0.0
600000SS,0.0
600009.SS,0.0
600009SS,0.0
600010.SS,0.0
600010SS,0.0
600011.SS,0.0
600011SS,0.0
600015.SS,0.0
600015SS,0.0
600018.SS,0.0
600018SS,0.0
600019.SS,0.0
600019SS,0.0
600023.SS,0.0
600023SS,0.0
600025.SS,0.0
600025SS,0.0
600030.SS,0.0
600030SS,0.0
600036.SS,0.0
600036SS,0.0
600048.SS,0.0
600048SS,0.0
600050.SS,0.0
600050SS,0.0
600061.SS,0.0
600061SS,0.0
600066.SS,0.0
600066SS,0.0
600085.SS,0.0
600085SS,0.0
600089.SS,0.0
600089SS,0.0
600111.SS,0.0
600111SS,0.0
600150.SS,0.0
600150SS,0.0
600160.SS,0.0
600160SS,0.0
600161.SS,0.0
600161SS,0.0
600176.SS,0.0
600176SS,0.0
600183.SS,0.0
600183SS,0.0
600219.SS,0.0
600219SS,0.0
600233.SS,0.0
600233SS,0.0
600309.SS,0.0
600309SS,0.0
600346.SS,0.0
600346SS,0.0
600372.SS,0.0
600372SS,0.0
600406.SS,0.0
600406SS,0.0
600415.SS,0.0
600415SS,0.0
600426.SS,0.0
600426SS,0.0
600436.SS,0.0
600436SS,0.0
600438.SS,0.0
600438SS,0.0
600460.SS,0.0
600460SS,0.0
600482.SS,0.0
600482SS,0.0
600489.SS,0.0
600489SS,0.0
600515.SS,0.0
600515SS,0.0
600519.SS,0.0
600519SS,0.0
600522.SS,0.0
600522SS,0.0
600570.SS,0.0
600570SS,0.0
600584.SS,0.0
600584SS,0.0
600588.SS,0.0
600588SS,0.0
6005TW,0.0
600674.SS,0.0
600674SS,0.0
600741.SS,0.0
600741SS,0.0
600760.SS,0.0
600760SS,0.0
600795.SS,0.0
600795SS,0.0
600803.SS,0.0
600803SS,0.0
600809.SS,0.0
600809SS,0.0
600875.SS,0.0
600875SS,0.0
600886.SS,0.0
600886SS,0.0
600887.SS,0.0
600887SS,0.0
600893.SS,0.0
600893SS,0.0
600905.SS,0.0
600905SS,0.0
600918.SS,0.0
600918SS,0.0
600919.SS,0.0
600919SS,0.0
600926.SS,0.0
600926SS,0.0
600930.SS,0.0
600930SS,0.0
600989.SS,0.0
600989SS,0.0
601006.SS,0.0
601006SS,0.0
601009.SS,0.0
601009SS,0.0
601012.SS,0.0
601012SS,0.0
601018.SS,0.0
601018SS,0.0
601021.SS,0.0
601021SS,0.0
601058.SS,0.0
601058SS,0.0
601059.SS,0.0
601059SS,0.0
601100.SS,0.0
601100SS,0.0
601117.SS,0.0
601117SS,0.0
601138.SS,0.0
601138SS,0.0
601166.SS,0.0
601166SS,0.0
601169.SS,0.0
601169SS,0.0
601225.SS,0.0
601225SS,0.0
601229.SS,0.0
601229SS,0.0
601236.SS,0.0
601236SS,0.0
601360.SS,0.0
601360SS,0.0
601377.SS,0.0
601377SS,0.0
601668.SS,0.0
601668SS,0.0
601669.SS,0.0
601669SS,0.0
601689.SS,0.0
601689SS,0.0
601698.SS,0.0
601698SS,0.0
601816.SS,0.0
601816SS,0.0
601818.SS,0.0
601818SS,0.0
601825.SS,0.0
601825SS,0.0
601838.SS,0.0
601838SS,0.0
601868.SS,0.0
601868SS,0.0
601872.SS,0.0
601872SS,0.0
601877.SS,0.0
601877SS,0.0
601878.SS,0.0
