date,etf_ticker,market,benchmark_ticker,name,group,ranking_group,ETF_return_20D,ETF_return_60D,ETF_return_120D,benchmark_return_20D,benchmark_return_60D,benchmark_return_120D,ETF_RS_20D,ETF_RS_60D,ETF_RS_120D,RS_slope_20D,price_obs,first_price_date,sub_asset,asset_class,persistent_rs,is_mean_reversion_group,is_cyclical_group,benchmark_strong,benchmark_strong_excluded,current_v31_score,screen_rank
2026-05-29,463680.KS,US,QQQ,KODEX 미국S&P500테크놀로지,US growth,US growth,0.20093688362919138,0.3835983080497236,0.3006077303061305,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.09525202371920027,0.16955844762274075,0.11493237745500395,0.005098626557222074,729,2023-08-03,overseas_equity_index,risk,1.0399582190993981,False,False,True,False,1.0399582190993981,11
2026-05-29,102780.KS,KR,069500.KS,KODEX 삼성그룹,Korea IT,Korea IT,0.44273127753303965,0.7989171522909748,1.384020861319951,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.0932993171706955,0.17854196952560275,0.08722117458185963,0.002253123433543328,4250,2010-01-04,domestic_equity_sector,risk,0.9917575984538053,False,False,True,False,0.9917575984538053,12
2026-05-29,091160.KS,KR,069500.KS,KODEX 반도체,Korea semiconductor,Korea semiconductor,0.2997981429148162,0.6019041145006192,1.763291426208116,0.34943196036234414,0.6203751827653721,1.2967996867380913,-0.04963381744752793,-0.018471068264752866,0.46649173947002476,7.433752807296282e-05,4250,2010-01-04,domestic_equity_sector,risk,0.8099840899116357,False,False,True,False,0.8099840899116357,13
2026-05-29,315930.KS,KR,069500.KS,KODEX Top5PlusTR,Korea IT,Korea IT,0.413737231419514,0.6500575563229731,1.42953995157385,0.34943196036234414,0.6203751827653721,1.2967996867380913,0.06430527105716988,0.02968237355760106,0.13274026483575874,0.002522421444191013,1905,2019-01-22,domestic_equity_sector,risk,0.7800260903502084,False,False,True,False,0.7800260903502084,14
2026-05-29,241180.KS,US,QQQ,TIGER 일본니케이225,Japan equity,Japan equity,0.15187376725838275,0.22748585286984646,0.3273856754364888,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.04618890734839165,0.013445992442863597,0.1417103225853622,0.0007461303288596107,2633,2016-03-31,overseas_equity_index,risk,0.7213023015179678,False,False,True,False,0.7213023015179678,15
2026-05-29,487230.KS,US,QQQ,KODEX 미국AI전력핵심인프라,US growth,US growth,0.04881506988049433,0.287489343913353,0.4059887274232652,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.05686979002949677,0.07344948348637015,0.22031337457213862,-0.004962179695791322,488,2024-07-09,overseas_equity_index,risk,0.6974027446521376,False,False,True,False,0.6974027446521376,16
2026-05-29,238720.KS,US,QQQ,ACE 일본Nikkei225(H),Japan equity,Japan equity,0.12651869158878504,0.22063291139240504,0.33691112683815216,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.020833831678793935,0.006593050965422176,0.1512357739870256,-0.00016700427565561956,2653,2016-03-03,overseas_equity_index,risk,0.6832084275362503,False,False,True,False,0.6832084275362503,17
2026-05-29,379810.KS,US,QQQ,KODEX 미국나스닥100,US growth,US growth,0.13529742916119347,0.2459883286741511,0.20918059121498445,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.02961256925120237,0.03194846824716824,0.023505238363857872,0.002149975328774138,1331,2021-04-09,overseas_equity_index,risk,0.6723310128126715,False,False,True,False,0.6723310128126715,18
2026-05-29,133690.KS,US,QQQ,TIGER 미국나스닥100,US growth,US growth,0.13458621270857907,0.244841525538819,0.2078026536468558,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.028901352798587965,0.03080166511183613,0.02212730079572922,0.002121254647057842,4046,2010-10-18,overseas_equity_index,risk,0.6686382528214532,False,False,True,False,0.6686382528214532,19
2026-05-29,367380.KS,US,QQQ,ACE 미국나스닥100,US growth,US growth,0.13426984645540663,0.24451309618054085,0.20770410847151233,0.1056848599099911,0.21403986042698286,0.18567535285112657,0.028584986545415525,0.03047323575355798,0.022028755620385754,0.00210999197871721,1445,2020-10-29,overseas_equity_index,risk,0.6676490477063249,False,False,True,False,0.6676490477063249,20
