pdf_color_group,sub_asset,screen_rank,etf_ticker,name,current_v31_score,ETF_RS_20D,ETF_RS_60D,MA60_breadth,HP90_share
국내주식_지수,domestic_equity_index,92,226490.KS,KODEX 코스피,-0.2100352763736249,-0.068131267249234,-0.1101279700356163,0.455851274600449,0.217846577516956
해외주식_지수,overseas_equity_index,93,453870.KS,TIGER 인도니프티50,-0.2419546075627114,-0.0988189471474709,-0.2606425811604472,0.4,0.0
해외주식_지수,overseas_equity_index,94,453810.KS,KODEX 인도Nifty50,-0.2530177965114293,-0.0993078172635184,-0.2638433715823469,0.4,0.0
해외주식_지수,overseas_equity_index,95,192090.KS,TIGER 차이나CSI300,-0.2951644717347297,-0.0576499254121745,-0.1003507652993727,0.4285714285714286,0.2
해외주식_섹터,overseas_equity_sector,96,463640.KS,KODEX 미국S&P500유틸리티,-0.318687173053916,-0.1203813455329942,-0.2434183769142484,0.0423299307411899,0.5618286045279051
FX 및 원자재,fx_commodity,97,144600.KS,KODEX 은선물(H),-0.333236196493296,-0.0654501574791444,-0.2998593816056201,0.0,0.0
해외주식_지수,overseas_equity_index,98,168580.KS,ACE 중국본토CSI300,-0.4161278757051055,-0.0622526565201606,-0.1069873175778679,0.3280632411067193,0.2173913043478261
해외주식_지수,overseas_equity_index,100,245360.KS,TIGER 차이나HSCEI,-0.5638639556499551,-0.1171663413914726,-0.1898888278880517,0.4666666666666668,0.2666666666666667
해외주식_지수,overseas_equity_index,101,250730.KS,RISE 차이나HSCEI(H),-0.6060672088133359,-0.130425087520085,-0.2165702247994525,0.5,0.2857142857142857
FX 및 원자재,fx_commodity,102,132030.KS,KODEX 골드선물(H),-0.620357270152815,-0.1211080332279013,-0.3440228246518551,0.0,0.0
해외주식_지수,overseas_equity_index,103,371160.KS,TIGER 차이나항셍테크,-0.6307969437521557,-0.0829719261560479,-0.1607900542107745,0.3,0.2
해외주식_섹터,overseas_equity_sector,104,371460.KS,TIGER 차이나전기차SOLACTIVE,-0.7156612276099579,-0.1615084298617485,-0.1024779943012221,0.5,0.0
국내주식_섹터,domestic_equity_sector,105,487240.KS,KODEX AI전력핵심설비,-0.7420490709389902,-0.4554524071627985,-0.0820380636084217,0.708717785555202,0.0
해외주식_지수,overseas_equity_index,106,372330.KS,KODEX 차이나항셍테크,-0.7740689643514871,-0.0835609661046814,-0.159119942338016,0.0,1.0
해외주식_지수,overseas_equity_index,107,099140.KS,KODEX 차이나H,-0.8051631548251637,-0.1141954982078634,-0.1849544116396753,0.0,1.0
FX 및 원자재,fx_commodity,108,271060.KS,KODEX 3대농산물선물(H),-0.8417093410365415,-0.1444804592151445,-0.1925013988885213,0.0,1.0
해외주식_지수,overseas_equity_index,109,256440.KS,ACE 인도네시아MSCI(합성),-0.8447204699858052,-0.1996756149176952,-0.4592259964988698,,
